municipio,exames,positivos,notif_join,semanas_com_dado,populacao,notif_sinan,confianca_dado,faixa_confianca,gap_sinan_sem_exame,join_sinan_fraco,interpretacao
DENISE,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
DOM AQUINO,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
FELIZ NATAL,0.0,,0.0,0.0,,11.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
GAUCHA DO NORTE,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
GENERAL CARNEIRO,0.0,,0.0,0.0,,9.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
GLORIA D OESTE,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
GUARANTA DO NORTE,0.0,,0.0,0.0,,49.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
GUIRATINGA,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
INDIAVAI,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
IPIRANGA DO NORTE,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ITANHANGA,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ITAUBA,0.0,,0.0,0.0,,18.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
JACIARA,0.0,,0.0,0.0,,8.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
JAURU,0.0,,0.0,0.0,,2.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
JUARA,0.0,,0.0,0.0,,11.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
JUINA,0.0,,0.0,0.0,,29.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
JURUENA,0.0,,0.0,0.0,,6.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
JUSCIMEIRA,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
LAMBARI D OESTE,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
LUCAS DO RIO VERDE,0.0,,0.0,0.0,,241.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
LUCIARA,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
MARCELANDIA,0.0,,0.0,0.0,,22.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
MATUPA,0.0,,0.0,0.0,,11.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
MIRASSOL D OESTE,0.0,,0.0,0.0,,35.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOBRES,0.0,,0.0,0.0,,66.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NORTELANDIA,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOSSA SENHORA DO LIVRAMENTO,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA BANDEIRANTES,0.0,,0.0,0.0,,16.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA BRASILANDIA,0.0,,0.0,0.0,,2.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA CANAA DO NORTE,0.0,,0.0,0.0,,11.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA GUARITA,0.0,,0.0,0.0,,14.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA MONTE VERDE,0.0,,0.0,0.0,,10.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA NAZARE,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA SANTA HELENA,0.0,,0.0,0.0,,5.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA UBIRATA,0.0,,0.0,0.0,,16.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVA XAVANTINA,0.0,,0.0,0.0,,17.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVO HORIZONTE DO NORTE,0.0,,0.0,0.0,,9.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVO SANTO ANTONIO,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
NOVO SAO JOAQUIM,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PARANAITA,0.0,,0.0,0.0,,5.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PARANATINGA,0.0,,0.0,0.0,,31.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PEDRA PRETA,0.0,,0.0,0.0,,20.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PEIXOTO DE AZEVEDO,0.0,,0.0,0.0,,14.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PLANALTO DA SERRA,0.0,,0.0,0.0,,10.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PONTAL DO ARAGUAIA,0.0,,0.0,0.0,,11.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PONTE BRANCA,0.0,,0.0,0.0,,14.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PORTO ALEGRE DO NORTE,0.0,,0.0,0.0,,10.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
PORTO DOS GAUCHOS,0.0,,0.0,0.0,,5.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
POXOREO,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
QUERENCIA,0.0,,0.0,0.0,,26.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
RESERVA DO CABACAL,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
RIBEIRAO CASCALHEIRA,0.0,,0.0,0.0,,16.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
RIBEIRAOZINHO,0.0,,0.0,0.0,,10.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
RIO BRANCO,0.0,,0.0,0.0,,2.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
RONDOLANDIA,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SALTO DO CEU,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SANTA CRUZ DO XINGU,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SANTA RITA DO TRIVELATO,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SANTA TEREZINHA,0.0,,0.0,0.0,,9.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SANTO AFONSO,0.0,,0.0,0.0,,2.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SANTO ANTONIO DO LESTE,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SANTO ANTONIO DO LEVERGER,0.0,,0.0,0.0,,9.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SAO FELIX DO ARAGUAIA,0.0,,0.0,0.0,,1.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SAO JOSE DO POVO,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SAO JOSE DO XINGU,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
SAO JOSE DOS QUATRO MARCOS,0.0,,0.0,0.0,,9.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
TAPURAH,0.0,,0.0,0.0,,16.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
TERRA NOVA DO NORTE,0.0,,0.0,0.0,,7.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
TESOURO,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
TORIXOREU,0.0,,0.0,0.0,,4.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
UNIAO DO SUL,0.0,,0.0,0.0,,13.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
VALE DE SAO DOMINGOS,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
VERA,0.0,,0.0,0.0,,15.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
VILA BELA DA S TRINDADE,0.0,,0.0,0.0,,3.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
VILA RICA,0.0,,0.0,0.0,,16.0,0.0,baixa,True,True,SINAN com notificação e ausência de exame LACEN — possível silêncio de captação
ARAPUTANGA,1.0,1.0,0.0,1.0,,22.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
CAMPO VERDE,1.0,0.0,0.0,1.0,,109.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
CARLINDA,1.0,0.0,0.0,1.0,,1.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
NOVA LACERDA,1.0,1.0,0.0,1.0,,10.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
NOVA MARILANDIA,1.0,0.0,0.0,1.0,,19.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
RONDONOPOLIS,1.0,0.0,0.0,1.0,,356.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
ROSARIO OESTE,1.0,1.0,0.0,1.0,,1.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
SORRISO,1.0,1.0,0.0,1.0,,175.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
TABAPORA,1.0,1.0,0.0,1.0,,31.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
DIAMANTINO,2.0,0.0,0.0,1.0,,10.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
NOVA MARINGA,2.0,0.0,0.0,1.0,,5.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
BRASNORTE,3.0,0.0,0.0,1.0,,10.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
SAPEZAL,4.0,0.0,0.0,1.0,,30.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
PORTO ESPERIDIAO,8.0,1.0,0.0,1.0,,19.0,0.494,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
NOVA MUTUM,4.0,1.0,0.0,2.0,,86.0,0.538,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
POCONE,4.0,0.0,0.0,2.0,,42.0,0.538,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
PRIMAVERA DO LESTE,8.0,1.0,0.0,2.0,,82.0,0.538,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
PONTES E LACERDA,4.0,0.0,0.0,3.0,,76.0,0.581,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
SAO JOSE DO RIO CLARO,5.0,0.0,0.0,3.0,,29.0,0.581,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
NOVA OLIMPIA,7.0,0.0,0.0,3.0,,16.0,0.581,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
BARRA DO BUGRES,11.0,2.0,0.0,3.0,,30.0,0.581,moderada,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
CAMPOS DE JULIO,1.0,1.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
CASSILANDIA,1.0,1.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
GUAIRA,1.0,1.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
IPORA,1.0,0.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
MIRASSOL D''OESTE,1.0,1.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
SAO GONCALO DO AMARANTE,1.0,0.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
ALTO PARAGUAI,2.0,0.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
JURUTI,2.0,1.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
PIMENTA BUENO,2.0,0.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
ARIQUEMES,3.0,0.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
PARAGOMINAS,3.0,0.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
JACOBINA,4.0,0.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
VILA BELA DA SANTISSIMA TRINDADE,12.0,2.0,0.0,1.0,,0.0,0.694,boa,False,False,Cobertura intermediária — monitorar
CAMPO NOVO DO PARECIS,13.0,2.0,0.0,6.0,,59.0,0.712,boa,False,True,SINAN existe mas pouco cruzou no join por alvo — revisar mapeamento agravo×exame
VARZEA GRANDE,15.0,0.0,14.0,6.0,,330.0,0.912,alta,False,False,Boa cobertura recente de exames/notificações
SINOP,23.0,11.0,15.0,6.0,,633.0,0.912,alta,False,False,Boa cobertura recente de exames/notificações
TANGARA DA SERRA,52.0,5.0,1.0,7.0,,51.0,0.956,alta,False,False,Boa cobertura recente de exames/notificações
CUIABA,37.0,6.0,5.0,8.0,,194.0,1.0,alta,False,False,Boa cobertura recente de exames/notificações
CACERES,223.0,49.0,3.0,8.0,,187.0,1.0,alta,False,False,Boa cobertura recente de exames/notificações
