municipio,target,epi_year,epi_week,familia,prob_alerta_proxima_janela,limiar_operacional,acima_limiar,faixa_predita,drivers,tipo_sinal,acao_sugerida,metodo,modelo_versao,risco_composto,positividade,tests,banda_absoluta,percentil_estadual,banda_percentil,banda_risco,criterio_banda,legenda_banda
DOM PEDRO,dengue,2026,4,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); risco_composto=0.169 (imp=0.174); tests=2 (imp=0.0116); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.1686,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JUARA,doen_as_sexualmente_transmitidas_pesquisa_de_multipat_genos_ist,2025,51,outros,0.0353,0.2,False,baixo,cnes_leitos_total=1.46e+03 (imp=0.0448); cnes_estabelecimentos=2.65e+03 (imp=0.0222); cnes_equipes_esf=216 (imp=0.0431); tests_ma8=8.57 (imp=0.0755); tests_trend=-1.82 (imp=0.0694),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,1.25,0.0,22,Moderado,88.7,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
DRACENA,dengue,2025,17,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
EDEIA,chikungunya,2026,5,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); risco_composto=0.169 (imp=0.174); tests=2 (imp=0.0116); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.1686,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ELDORADO,dengue,2025,2,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ELDORADO DO SUL,dengue,2025,11,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ELDORADO DOS CARAJAS,dengue,2024,45,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PIATA,dengue,2024,38,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=6 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,6,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PICOS,dengue,2026,5,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=3 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,3,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PEDREIRAS,dengue,2025,7,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PASSO FUNDO,chikungunya,2024,43,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PASSO FUNDO,dengue,2026,8,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PATOS,dengue,2025,22,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=3 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,3,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PATROCINIO,dengue,2025,11,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ENTRE-IJUIS,dengue,2024,40,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JOINVILLE,dengue,2025,14,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); risco_composto=0.422 (imp=0.174); tests=5 (imp=0.0116); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.4216,0.0,5,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JORDAO,dengue,2025,5,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=3 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,3,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JOSELANDIA,chikungunya,2025,23,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ERECHIM,zika,2025,14,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ERERE,dengue,2025,11,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ESPIGAO D''OESTE,chikungunya,2024,51,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ESPIGAO D''OESTE,dengue,2026,18,arbovirose,0.0353,0.25,False,baixo,tests_ma8=1 (imp=0.47); tests=1 (imp=0.0116); positividade=0 (imp=0.0247); positividade_trend=0 (imp=0.0798); risco_composto=0 (imp=0.174),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JOACABA,chikungunya,2025,17,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JOAO DOURADO,chikungunya,2025,14,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JOAQUIM GOMES,chikungunya,2025,13,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); risco_composto=0.169 (imp=0.174); tests=2 (imp=0.0116); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.1686,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
EUCLIDES DA CUNHA PAULISTA,dengue,2025,23,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=3 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,3,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FAINA,oropouche,2026,8,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FARIAS BRITO,chikungunya,2025,19,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); risco_composto=0.169 (imp=0.174); tests=2 (imp=0.0116); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.1686,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FARROUPILHA,chikungunya,2025,8,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TOLEDO,chikungunya,2025,12,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TOLEDO,dengue,2025,51,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); risco_composto=0.169 (imp=0.174); tests=2 (imp=0.0116); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.1686,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TOLEDO,zika,2025,13,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TOME-ACU,chikungunya,2024,32,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=3 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,3,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TERRA SANTA,dengue,2025,3,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=5 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,5,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TIMBO,chikungunya,2025,12,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ANDIRA,chikungunya,2025,5,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PENDENCIAS,dengue,2025,4,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PEREIRA BARRETO,chikungunya,2025,12,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PEREIRA BARRETO,dengue,2025,9,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=4 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,4,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PERITORO,dengue,2025,8,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); risco_composto=0.354 (imp=0.174); tests=3 (imp=0.0116); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.3536,0.0,3,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PEROBAL,dengue,2024,38,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PETROLINA,chikungunya,2025,9,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=4 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,4,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
RIO BRILHANTE,dengue,2025,19,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
RIO CLARO,chikungunya,2025,13,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
RIO CLARO,dengue,2025,13,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JOAQUIM PIRES,zika,2026,16,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FEIJO,dengue,2025,23,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FEIRA DE SANTANA,chikungunya,2025,8,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FEIRA DE SANTANA,dengue,2025,13,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JENIPAPO DOS VIEIRAS,dengue,2025,30,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=1 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FLORIANOPOLIS,chikungunya,2025,9,arbovirose,0.0353,0.25,False,baixo,positividade=0 (imp=0.0247); positividade_trend=nan (imp=0.0798); tests=2 (imp=0.0116); risco_composto=0 (imp=0.174); notificacoes=0 (imp=0.00811),predito,Manter rotina de vigilância laboratorial.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,29.7,Baixo,Baixo,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
