municipio,exames,tat_mediano_dias,tat_p90_dias,tat_lab_mediano_dias,logistica_mediana_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_liberado_14d,pct_rejeitado,backlog_estimado,pct_inconclusivo,pct_liberado,fonte,anos_referencia,interpretacao,volume_norm,backlog_norm,tat_p90_norm,rejeicao_norm,indice_pressao_rede,faixa_pressao,formula_pressao,sla_48h_fonte,sla_crise,tipo_sinal_sla,pct_liberado_48h_limiar_crise,tat_p90_limiar_crise,exames_ultima_se,exames_mediana_8se,razao_exames_vs_hist,silencio_gal_alerta,tipo_silencio_gal,silencio_gal_vs_vizinhos,exames_mediana_vizinhos,epi_year_ref,epi_week_ref,fonte_silencio,nota_silencio,silencio_sinan_territorial,silencio_gal_distinto_sinan,divergencia_gal_notif,tipo_divergencia,fonte_divergencia,exames_janela,notificacoes_janela,prioridade_emergencia,sinal,acao_sugerida,responsavel,prazo_acao,checklist_operacional,tipo_sinal_pressao,prob_pressao_alta_proxima_janela,limiar_pressao_predita,pressao_predita_acima_limiar,faixa_pressao_predita,drivers_pressao_predita,acao_pressao_predita,tipo_sinal_pressao_predita
SAO JOSE DO POVO,90.0,11.078819444444445,37.758194444444456,4.632638888888889,1.5583333333333333,0.23333333333333334,0.0625,0.375,0.59375,0.05555555555555555,35.0,0.0,0.23333333333333334,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0091,0.3889,1.0,0.5556,45.27,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,0.0,1.0,0.0,False,estavel,False,0.5,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.0569,0.3,False,baixa,cnes_estabelecimentos=96 (imp=0.0355); tests_ma4=2 (imp=0.572); indice_pressao_proxy=22.9 (imp=0.0408); tat_mediano_dias=116 (imp=0.00376); cnes_equipes_esf=48 (imp=0.00772),Manter rotina de desempenho da rede laboratorial.,Predito
NOVO SANTO ANTONIO,92.0,11.745138888888889,152.38888888888889,7.24375,6.528819444444444,0.37254901960784315,0.26229508196721313,0.4262295081967213,0.5573770491803278,0.07608695652173914,26.0,0.0,0.44565217391304346,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0093,0.2826,1.0,0.7609,45.17,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,,,,False,,,,,,,,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.0595,0.3,False,baixa,cnes_estabelecimentos=161 (imp=0.0355); tests_ma4=3.75 (imp=0.572); indice_pressao_proxy=11.8 (imp=0.0408); tests_ma8=3 (imp=0.149); cnes_equipes_esf=24 (imp=0.00772),Manter rotina de desempenho da rede laboratorial.,Predito
CARLINDA,161.0,14.028125,143.42291666666668,7.970833333333333,2.651388888888889,0.2727272727272727,0.175,0.4125,0.5,0.08074534161490683,39.0,0.0,0.2732919254658385,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0162,0.2422,1.0,0.8075,44.87,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,1.0,1.0,1.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1167,0.3,False,baixa,cnes_estabelecimentos=532 (imp=0.0355); cnes_equipes_esf=110 (imp=0.00772); tests_ma4=1.25 (imp=0.572); indice_pressao_proxy=10.4 (imp=0.0408); tests_ma8=2.12 (imp=0.149),Manter rotina de desempenho da rede laboratorial.,Predito
INDIAVAI,172.0,70.33541666666666,187.60972222222222,29.865277777777777,1.9784722222222224,0.3300970873786408,0.1504424778761062,0.37168141592920356,0.4247787610619469,0.08139534883720931,40.0,0.0,0.38372093023255816,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0173,0.2326,1.0,0.814,44.71,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,,,,False,,,,,,,,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.0539,0.3,False,baixa,cnes_estabelecimentos=169 (imp=0.0355); tests_ma4=2.75 (imp=0.572); indice_pressao_proxy=11.7 (imp=0.0408); tests_ma8=2.62 (imp=0.149); cnes_equipes_esf=24 (imp=0.00772),Manter rotina de desempenho da rede laboratorial.,Predito
ITAUBA,1956.0,22.43611111111111,93.34097222222222,18.986805555555556,1.4791666666666667,0.19028974158183243,0.10956175298804781,0.2151394422310757,0.3804780876494024,0.015337423312883436,744.0,0.0,0.4274028629856851,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.197,0.3804,1.0,0.1534,44.62,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,0.0,1.0,0.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.0369,0.3,False,baixa,cnes_estabelecimentos=251 (imp=0.0355); cnes_leitos_total=384 (imp=0.013); indice_pressao_proxy=20.9 (imp=0.0408); tests_ma4=1 (imp=0.572); tests_ma8=1.5 (imp=0.149),Manter rotina de desempenho da rede laboratorial.,Predito
NOVA SANTA HELENA,1547.0,19.48125,109.73770833333275,10.01736111111111,7.450694444444444,0.21832358674463936,0.07899022801302931,0.21091205211726385,0.3973941368078176,0.02068519715578539,574.0,0.0,0.4473173884938591,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.1558,0.371,1.0,0.2069,43.91,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,0.0,1.0,0.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1189,0.3,False,baixa,cnes_estabelecimentos=193 (imp=0.0355); tests_ma4=2.75 (imp=0.572); indice_pressao_proxy=21.8 (imp=0.0408); tat_mediano_dias=183 (imp=0.00376); cnes_equipes_esf=53 (imp=0.00772),Manter rotina de desempenho da rede laboratorial.,Predito
APIACAS,470.0,9.690972222222221,274.46666666666664,3.9368055555555554,6.377083333333333,0.22509225092250923,0.10927152317880795,0.32781456953642385,0.7483443708609272,0.01276595744680851,242.0,0.0,0.39787234042553193,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0473,0.5149,1.0,0.1277,43.78,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,0.0,1.0,0.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1602,0.3,False,baixa,cnes_estabelecimentos=383 (imp=0.0355); cnes_leitos_total=768 (imp=0.013); tests_ma4=2.75 (imp=0.572); indice_pressao_proxy=21 (imp=0.0408); cnes_equipes_esf=96 (imp=0.00772),Manter rotina de desempenho da rede laboratorial.,Predito
SAO JOSE DOS QUATRO MARCOS,1463.0,25.37638888888889,94.41597222222222,25.011111111111113,4.477777777777778,0.1574973031283711,0.04919423240033927,0.18405428329092452,0.3256997455470738,0.04032809295967191,385.0,0.0,0.6008202323991798,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.1473,0.2632,1.0,0.4033,43.36,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,1.0,1.0,1.0,False,estavel,False,0.5,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1593,0.3,False,baixa,cnes_estabelecimentos=987 (imp=0.0355); cnes_leitos_total=1.21e+03 (imp=0.013); tests_ma4=2.75 (imp=0.572); cnes_equipes_esf=120 (imp=0.00772); indice_pressao_proxy=20.4 (imp=0.0408),Manter rotina de desempenho da rede laboratorial.,Predito
NOVA BANDEIRANTES,186.0,9.603819444444444,71.40416666666667,8.152083333333334,2.323611111111111,0.23893805309734514,0.19696969696969696,0.4090909090909091,0.5151515151515151,0.05913978494623656,54.0,0.0,0.3763440860215054,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0187,0.2903,1.0,0.5914,43.14,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,0.0,2.0,0.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1675,0.3,False,baixa,cnes_estabelecimentos=706 (imp=0.0355); cnes_leitos_total=336 (imp=0.013); tests_ma4=2.5 (imp=0.572); cnes_equipes_esf=132 (imp=0.00772); indice_pressao_proxy=21 (imp=0.0408),Manter rotina de desempenho da rede laboratorial.,Predito
CANARANA,1595.0,13.43125,206.07333333333335,6.045833333333333,5.459027777777778,0.2763873775843308,0.12338308457711443,0.26965174129353237,0.5343283582089552,0.03761755485893417,391.0,0.0,0.4369905956112853,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.1606,0.2451,1.0,0.3762,42.82,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,13.0,1.0,13.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.4802,0.3,True,alta,cnes_estabelecimentos=1.94e+03 (imp=0.0355); cnes_leitos_total=1.06e+03 (imp=0.013); tests_ma4=17.2 (imp=0.572); tests_ma8=11.2 (imp=0.149); cnes_equipes_esf=192 (imp=0.00772),"Pressão predita alta: antecipar triagem de backlog, reforçar liberação ≤48h e articular rede municipal.",Predito
TAPURAH,1416.0,16.334722222222222,93.13500000000019,8.056944444444444,4.44375,0.275,0.05624404194470925,0.2697807435653003,0.4356530028598665,0.03884180790960452,359.0,0.0,0.4625706214689266,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.1426,0.2535,1.0,0.3884,42.71,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,2.0,1.0,2.0,False,estavel,False,18.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.2073,0.3,False,baixa,cnes_estabelecimentos=765 (imp=0.0355); cnes_leitos_total=493 (imp=0.013); tests_ma4=4 (imp=0.572); indice_pressao_proxy=20.9 (imp=0.0408); cnes_equipes_esf=96 (imp=0.00772),Manter rotina de desempenho da rede laboratorial.,Predito
COTRIGUACU,406.0,10.470833333333333,152.3875,4.314583333333333,1.6715277777777777,0.40408163265306124,0.2490272373540856,0.4708171206225681,0.5369649805447471,0.06403940886699508,93.0,0.0,0.35960591133004927,gal_lacen_microdados,>=2024,Rejeição elevada — capacitar coleta/envio de amostras,0.0409,0.2291,1.0,0.6404,42.7,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,1.0,1.0,1.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1228,0.3,False,baixa,cnes_estabelecimentos=432 (imp=0.0355); cnes_leitos_total=816 (imp=0.013); tests_ma4=2 (imp=0.572); cnes_equipes_esf=120 (imp=0.00772); tests_ma8=4.38 (imp=0.149),Manter rotina de desempenho da rede laboratorial.,Predito
MARCELANDIA,1343.0,24.406944444444445,95.4875,9.0875,8.407291666666666,0.26425591098748263,0.09193954659949623,0.24181360201511334,0.3501259445843829,0.03648548026805659,361.0,0.0,0.44080416976917347,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.1353,0.2688,1.0,0.3649,42.59,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,9.0,1.5,6.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.2645,0.3,False,moderada,cnes_estabelecimentos=466 (imp=0.0355); cnes_leitos_total=531 (imp=0.013); tests_ma4=7.25 (imp=0.572); tests_ma8=8.25 (imp=0.149); indice_pressao_proxy=23.9 (imp=0.0408),Manter rotina de desempenho da rede laboratorial.,Predito
CASTANHEIRA,572.0,14.48263888888889,155.38680555555555,10.97638888888889,1.5659722222222223,0.2601880877742947,0.12609970674486803,0.30791788856304986,0.49560117302052786,0.05244755244755245,152.0,0.0,0.39335664335664333,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0576,0.2657,1.0,0.5245,42.57,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,1.0,1.0,1.0,False,estavel,False,28.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1457,0.3,False,baixa,cnes_estabelecimentos=429 (imp=0.0355); tests_ma4=2.75 (imp=0.572); indice_pressao_proxy=20.4 (imp=0.0408); cnes_equipes_esf=72 (imp=0.00772); tests_ma8=3.38 (imp=0.149),Manter rotina de desempenho da rede laboratorial.,Predito
VILA BELA DA SANTISSIMA TRINDADE,224.0,6.547916666666667,158.62333333333376,1.71875,1.6284722222222223,0.5374149659863946,0.18120805369127516,0.5234899328859061,0.7315436241610739,0.05357142857142857,65.0,0.0,0.5133928571428571,gal_lacen_microdados,>=2024,Rejeição elevada — capacitar coleta/envio de amostras,0.0226,0.2902,1.0,0.5357,42.42,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,0.0,1.0,0.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.089,0.3,False,baixa,indice_pressao_proxy=22 (imp=0.0408); tests_ma4=1.5 (imp=0.572); tests_ma8=4.5 (imp=0.149); tat_mediano_dias=88.8 (imp=0.00376); tat_p90_dias=158 (imp=0.00134),Manter rotina de desempenho da rede laboratorial.,Predito
BARRA DO BUGRES,1720.0,37.469791666666666,120.44583333333334,11.917361111111111,17.658333333333335,0.16859946476360393,0.08780487804878048,0.23252032520325203,0.2731707317073171,0.044767441860465114,298.0,0.0,0.6546511627906977,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.1732,0.1733,1.0,0.4477,42.11,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,8.0,1.5,5.333,False,estavel,False,1.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,False,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.2957,0.3,False,moderada,cnes_estabelecimentos=1.73e+03 (imp=0.0355); cnes_leitos_total=768 (imp=0.013); tests_ma4=6 (imp=0.572); cnes_equipes_esf=205 (imp=0.00772); tests_ma8=7.12 (imp=0.149),Manter rotina de desempenho da rede laboratorial.,Predito
COCALINHO,364.0,55.334722222222226,239.62152777777777,29.927083333333332,6.395833333333333,0.15181518151815182,0.03197674418604651,0.34011627906976744,0.4418604651162791,0.23351648351648352,9.0,0.0,0.2967032967032967,gal_lacen_microdados,>=2024,SLA crise: baixa liberação ≤48h — priorizar liberação/triagem,0.0367,0.0247,1.0,1.0,41.84,moderada,"indice_pressao_rede = 100 × clip( 0,30·volume_norm + 0,30·backlog_norm + 0,25·tat_p90_norm + 0,15·rejeicao_norm ; 0–1 ). volume_norm = exames/p95(exames); backlog_norm = backlog/max(exames,1) limitado a 1; tat_p90_norm = min(tat_p90/14, 2)/2; rejeicao_norm = min(pct_rejeitado/0,05, 2)/2.",gal_lacen_microdados,True,Observado,0.2768586387434555,151.14791666666676,0.0,2.0,0.0,False,estavel,False,0.0,2026.0,30.0,gal_weekly_vs_historico,Alerta de silêncio GAL (exames) — distinto do silêncio SINAN/territorial em municipios_silenciosos.,True,False,False,,,,,ALTO,risco,"SLA de crise: reforçar liberação ≤48h, triagem de backlog e comunicação CIEVS/LACEN.",CIEVS / Sala de Situação + vigilância municipal,24–48h,1) Conferir % liberado ≤48h e TAT p90; 2) Priorizar backlog; 3) Articular rede municipal; 4) Reavaliar em 48h,Derivado,0.1163,0.3,False,baixa,cnes_estabelecimentos=536 (imp=0.0355); cnes_leitos_total=408 (imp=0.013); tests_ma4=6.5 (imp=0.572); indice_pressao_proxy=23.9 (imp=0.0408); tests_ma8=3.88 (imp=0.149),Manter rotina de desempenho da rede laboratorial.,Predito
